===================
solver, cost, time, n_exp, n_gen, map_file, scen_file, agents_limit, conflict_bound, success 
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 20, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 20, 5, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, 3031, 5.269, 67, 132, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 20, 10, success
MetaAgCBSWithCBS, 3043, 35.939, 393, 784, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 20, 100, success
CBSSolver, -, 300.03, 1733, 3459, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 25, -, timeout
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 25, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 25, 5, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 25, 10, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/arena2.map, more/scenarios/1/arena2.map.scen, 25, 100, Fail:object of type 'int' has no len()
CBSSolver, 687, 0.008, 1, 1, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 5, -, success
MetaAgCBSWithCBS, 687, 0.010, 1, 1, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 5, 1, success
MetaAgCBSWithCBS, 687, 0.010, 1, 1, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 5, 5, success
MetaAgCBSWithCBS, 687, 0.012, 1, 1, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 5, 10, success
MetaAgCBSWithCBS, 687, 0.012, 1, 1, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 5, 100, success
CBSSolver, -, 300.01, 10194, 20387, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 10, -, timeout
MetaAgCBSWithCBS, 1648, 0.430, 6, 10, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 10, 1, success
MetaAgCBSWithCBS, 1648, 0.677, 25, 48, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 10, 5, success
MetaAgCBSWithCBS, 1648, 61.466, 47, 88, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 10, 10, success
MetaAgCBSWithCBS, -, 306.02, 185, 351, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 10, 100, timeout
CBSSolver, 3002, 6.037, 7, 12, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 15, -, success
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 15, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, 2325, 0.779, 21, 40, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 15, 5, success
MetaAgCBSWithCBS, 2325, 1.199, 24, 46, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 15, 10, success
MetaAgCBSWithCBS, 3002, 3.058, 108, 215, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 15, 100, success
CBSSolver, 3547, 216.458, 41, 59, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 20, -, success
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 20, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, 3215, 10.848, 30, 58, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 20, 5, success
MetaAgCBSWithCBS, 3215, 11.014, 30, 58, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 20, 10, success
MetaAgCBSWithCBS, 3215, 23.779, 177, 352, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 20, 100, success
CBSSolver, -, 300.07, 2539, 5077, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 25, -, timeout
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 25, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 25, 5, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, 305.7, 46, 72, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 25, 10, timeout
MetaAgCBSWithCBS, -, 314.35, 391, 763, more/maps/1/brc000d.map, more/scenarios/1/brc000d.map.scen, 25, 100, timeout
CBSSolver, 1614, 0.054, 3, 5, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 5, -, success
MetaAgCBSWithCBS, 618, 0.349, 4, 6, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 5, 1, success
MetaAgCBSWithCBS, 1614, 0.097, 4, 7, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 5, 5, success
MetaAgCBSWithCBS, 1614, 0.072, 4, 7, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 5, 10, success
MetaAgCBSWithCBS, 1614, 0.063, 4, 7, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 5, 100, success
CBSSolver, 2709, 0.442, 8, 15, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 10, -, success
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 10, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, 2051, 0.563, 19, 36, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 10, 5, success
MetaAgCBSWithCBS, 2005, 0.717, 27, 52, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 10, 10, success
MetaAgCBSWithCBS, 2709, 2.547, 132, 263, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 10, 100, success
CBSSolver, 5030, 12.925, 19, 36, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 15, -, success
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 15, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 15, 5, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 15, 10, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, 3852, 13.818, 440, 878, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 15, 100, success
CBSSolver, -, 304.89, 61, 91, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 20, -, timeout
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 20, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 20, 5, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 20, 10, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 20, 100, Fail:object of type 'int' has no len()
CBSSolver, 9529, 51.659, 59, 113, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 25, -, success
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 25, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 25, 5, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 25, 10, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc100d.map, more/scenarios/1/brc100d.map.scen, 25, 100, Fail:object of type 'int' has no len()
CBSSolver, 1685, 0.021, 1, 1, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 5, -, success
MetaAgCBSWithCBS, 1685, 0.024, 1, 1, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 5, 1, success
MetaAgCBSWithCBS, 1685, 0.025, 1, 1, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 5, 5, success
MetaAgCBSWithCBS, 1685, 0.025, 1, 1, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 5, 10, success
MetaAgCBSWithCBS, 1685, 0.023, 1, 1, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 5, 100, success
CBSSolver, 2040, 0.766, 4, 7, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 10, -, success
MetaAgCBSWithCBS, 1747, 1.613, 5, 8, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 10, 1, success
MetaAgCBSWithCBS, 2040, 1.331, 5, 9, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 10, 5, success
MetaAgCBSWithCBS, 2040, 1.390, 5, 9, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 10, 10, success
MetaAgCBSWithCBS, 2040, 1.337, 5, 9, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 10, 100, success
CBSSolver, 4178, 34.333, 24, 41, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 15, -, success
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 15, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 15, 5, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 15, 10, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, 3916, 20.381, 652, 1302, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 15, 100, success
CBSSolver, 6439, 94.374, 54, 107, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 20, -, success
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 20, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 20, 5, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 20, 10, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 20, 100, Fail:object of type 'int' has no len()
CBSSolver, -, 304.39, 815, 1612, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 25, -, timeout
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 25, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 25, 5, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 25, 10, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc200d.map, more/scenarios/1/brc200d.map.scen, 25, 100, Fail:object of type 'int' has no len()
CBSSolver, 3083, 12.392, 9, 16, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 5, -, success
MetaAgCBSWithCBS, 1775, 10.267, 4, 6, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 5, 1, success
MetaAgCBSWithCBS, 1775, 7.564, 8, 14, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 5, 5, success
MetaAgCBSWithCBS, 3083, 5.368, 18, 35, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 5, 10, success
MetaAgCBSWithCBS, 3083, 5.381, 18, 35, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 5, 100, success
CBSSolver, -, 316.58, 82, 155, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 10, -, timeout
MetaAgCBSWithCBS, 2515, 145.244, 17, 25, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 10, 1, success
MetaAgCBSWithCBS, -, 314.51, 40, 65, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 10, 5, timeout
MetaAgCBSWithCBS, -, 319.86, 52, 93, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 10, 10, timeout
MetaAgCBSWithCBS, -, 305.06, 69, 139, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 10, 100, timeout
CBSSolver, -, 318.67, 111, 208, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 15, -, timeout
MetaAgCBSWithCBS, -, 306.72, 22, 25, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 15, 1, timeout
MetaAgCBSWithCBS, -, 342.26, 26, 37, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 15, 5, timeout
MetaAgCBSWithCBS, -, 305.71, 36, 62, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 15, 10, timeout
MetaAgCBSWithCBS, -, 342.87, 847, 1684, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 15, 100, timeout
CBSSolver, -, 324.09, 18, 37, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 20, -, timeout
